brand,address,description,founding_year,num_of_products
Matilde Vicenzi,Address for Matilde Vicenzi,Description for Matilde Vicenzi,2007,76
Margo,Address for Margo,Description for Margo,1955,89
Soultree Ayurvedic,Address for Soultree Ayurvedic,Description for Soultree Ayurvedic,2005,9
Dana,Address for Dana,Description for Dana,2017,58
Sol,Address for Sol,Description for Sol,2013,67
Exit No Entry,Address for Exit No Entry,Description for Exit No Entry,1973,26
Master,Address for Master,Description for Master,1984,85
mother dairy,Address for mother dairy,Description for mother dairy,1912,96
Roasty Tasty,Address for Roasty Tasty,Description for Roasty Tasty,1944,58
Spring Fest,Address for Spring Fest,Description for Spring Fest,1907,79
Falcon,Address for Falcon,Description for Falcon,2002,63
Veekes & Company,Address for Veekes & Company,Description for Veekes & Company,1913,20
LuvIt,Address for LuvIt,Description for LuvIt,2001,89
Ocean,Address for Ocean,Description for Ocean,1992,68
Namhya,Address for Namhya,Description for Namhya,1957,78
QIPS,Address for QIPS,Description for QIPS,2015,51
Faber castell,Address for Faber castell,Description for Faber castell,2018,50
Beardo,Address for Beardo,Description for Beardo,2013,65
Nutro,Address for Nutro,Description for Nutro,1925,42
Arata Zero Chemicals,Address for Arata Zero Chemicals,Description for Arata Zero Chemicals,1912,20
Heidi,Address for Heidi,Description for Heidi,1992,41
Vauva,Address for Vauva,Description for Vauva,1993,3
Nourish You,Address for Nourish You,Description for Nourish You,1930,37
Morning Fresh,Address for Morning Fresh,Description for Morning Fresh,1960,18
Grand Sweets,Address for Grand Sweets,Description for Grand Sweets,1932,1
Pet king,Address for Pet king,Description for Pet king,2012,5
Dr. Vaidya's,Address for Dr. Vaidya's,Description for Dr. Vaidya's,1936,66
Pickwick ,Address for Pickwick ,Description for Pickwick ,1998,29
Ice Berg,Address for Ice Berg,Description for Ice Berg,1912,26
Lays,Address for Lays,Description for Lays,1933,17
Kingfisher,Address for Kingfisher,Description for Kingfisher,1904,37
GOELD,Address for GOELD,Description for GOELD,1968,66
SBE,Address for SBE,Description for SBE,2017,36
Raja,Address for Raja,Description for Raja,1998,73
Olitalia,Address for Olitalia,Description for Olitalia,1956,20
Miss Claire,Address for Miss Claire,Description for Miss Claire,1906,4
MOM,Address for MOM,Description for MOM,2012,48
La Vieja Fabrica,Address for La Vieja Fabrica,Description for La Vieja Fabrica,1941,94
Nectar Valley,Address for Nectar Valley,Description for Nectar Valley,1957,61
Harin,Address for Harin,Description for Harin,1995,92
Nihar,Address for Nihar,Description for Nihar,1973,22
Pillsbury,Address for Pillsbury,Description for Pillsbury,1994,27
Kokos Natural,Address for Kokos Natural,Description for Kokos Natural,1921,84
Prozo Plus,Address for Prozo Plus,Description for Prozo Plus,1999,28
Boost,Address for Boost,Description for Boost,1999,88
FAIR AND HANDSOME,Address for FAIR AND HANDSOME,Description for FAIR AND HANDSOME,1963,58
Krack,Address for Krack,Description for Krack,1934,25
Agnesi,Address for Agnesi,Description for Agnesi,1949,57
Palmpure,Address for Palmpure,Description for Palmpure,2002,76
Stationari+,Address for Stationari+,Description for Stationari+,2011,55
Tide,Address for Tide,Description for Tide,1911,81
Syska,Address for Syska,Description for Syska,1983,3
Superware,Address for Superware,Description for Superware,1927,93
BENGAMESE,Address for BENGAMESE,Description for BENGAMESE,1926,1
Lotus,Address for Lotus,Description for Lotus,1978,34
Brewhouse Tea Brewing Co.,Address for Brewhouse Tea Brewing Co.,Description for Brewhouse Tea Brewing Co.,1933,58
Yashoda ,Address for Yashoda ,Description for Yashoda ,1946,56
KM,Address for KM,Description for KM,2008,54
Chicnutrix,Address for Chicnutrix,Description for Chicnutrix,1951,54
Cheetos,Address for Cheetos,Description for Cheetos,1947,41
O,Address for O,Description for O,1993,63
American Pancake Co.,Address for American Pancake Co.,Description for American Pancake Co.,1960,89
Nataraj,Address for Nataraj,Description for Nataraj,1981,35
Sunpure ,Address for Sunpure ,Description for Sunpure ,1925,73
Pril,Address for Pril,Description for Pril,1969,30
Kurkure,Address for Kurkure,Description for Kurkure,2019,13
The August Co.,Address for The August Co.,Description for The August Co.,1921,57
DaVinci Gourmet,Address for DaVinci Gourmet,Description for DaVinci Gourmet,1926,38
Azad ,Address for Azad ,Description for Azad ,1995,62
Sakthi,Address for Sakthi,Description for Sakthi,1989,3
Langnese,Address for Langnese,Description for Langnese,1963,0
Lipton ,Address for Lipton ,Description for Lipton ,1994,11
Grami Superfoods,Address for Grami Superfoods,Description for Grami Superfoods,1959,34
Soogo,Address for Soogo,Description for Soogo,1901,87
Simpkins ,Address for Simpkins ,Description for Simpkins ,1927,68
Red indian,Address for Red indian,Description for Red indian,2016,24
Picnic,Address for Picnic,Description for Picnic,1905,93
Vicks,Address for Vicks,Description for Vicks,1936,9
Wonder Fresh ,Address for Wonder Fresh ,Description for Wonder Fresh ,1981,47
Engine,Address for Engine,Description for Engine,1903,45
Sidapur,Address for Sidapur,Description for Sidapur,1985,16
Bigen,Address for Bigen,Description for Bigen,1982,62
Nilons,Address for Nilons,Description for Nilons,1953,95
Mothers Maid,Address for Mothers Maid,Description for Mothers Maid,1962,70
Oddy ,Address for Oddy ,Description for Oddy ,2006,48
Flyberry,Address for Flyberry,Description for Flyberry,1926,94
Under The Mango Tree,Address for Under The Mango Tree,Description for Under The Mango Tree,1950,15
Callesta,Address for Callesta,Description for Callesta,1955,79
Dezire,Address for Dezire,Description for Dezire,1993,85
Cardia,Address for Cardia,Description for Cardia,1908,42
Neesh,Address for Neesh,Description for Neesh,1938,56
Luvlap,Address for Luvlap,Description for Luvlap,1988,67
Delight Nuts,Address for Delight Nuts,Description for Delight Nuts,1963,69
Fresho Organic,Address for Fresho Organic,Description for Fresho Organic,1988,80
Heineken,Address for Heineken,Description for Heineken,1925,0
Barber's Club,Address for Barber's Club,Description for Barber's Club,2012,38
IAMS,Address for IAMS,Description for IAMS,1963,71
Kinder Joy,Address for Kinder Joy,Description for Kinder Joy,1942,93
Narasus,Address for Narasus,Description for Narasus,2016,48
Subicsha,Address for Subicsha,Description for Subicsha,1977,97
Cookie Man,Address for Cookie Man,Description for Cookie Man,1913,2
Threptin,Address for Threptin,Description for Threptin,2001,65
Black & Green,Address for Black & Green,Description for Black & Green,1959,68
Qraa Men,Address for Qraa Men,Description for Qraa Men,1994,67
LiL'Goodness,Address for LiL'Goodness,Description for LiL'Goodness,1981,6
Fanta,Address for Fanta,Description for Fanta,2010,90
Nissin Food,Address for Nissin Food,Description for Nissin Food,1973,76
Kare Med,Address for Kare Med,Description for Kare Med,1934,57
Instafeast,Address for Instafeast,Description for Instafeast,2017,26
Papergrid,Address for Papergrid,Description for Papergrid,1951,9
ECO365,Address for ECO365,Description for ECO365,1956,17
Yagna,Address for Yagna,Description for Yagna,1968,50
Yum Yum,Address for Yum Yum,Description for Yum Yum,1939,88
SOVI,Address for SOVI,Description for SOVI,1942,32
BB Home Herbal,Address for BB Home Herbal,Description for BB Home Herbal,1914,26
Jersey,Address for Jersey,Description for Jersey,1949,28
Vilvaa,Address for Vilvaa,Description for Vilvaa,1927,93
Sri Swastik,Address for Sri Swastik,Description for Sri Swastik,1999,13
Amul Slim,Address for Amul Slim,Description for Amul Slim,1996,2
Mr. Gold,Address for Mr. Gold,Description for Mr. Gold,2019,93
Aptamil,Address for Aptamil,Description for Aptamil,1910,63
Gourmets Delite ,Address for Gourmets Delite ,Description for Gourmets Delite ,1912,18
Ujala,Address for Ujala,Description for Ujala,1918,55
HIT,Address for HIT,Description for HIT,1950,90
Cocoacraft,Address for Cocoacraft,Description for Cocoacraft,1966,17
JK Copier,Address for JK Copier,Description for JK Copier,1965,68
LAXMI NARAYAN,Address for LAXMI NARAYAN,Description for LAXMI NARAYAN,1935,52
Citrus Plus,Address for Citrus Plus,Description for Citrus Plus,1936,18
Sakurafresh,Address for Sakurafresh,Description for Sakurafresh,1922,59
Jai Veer,Address for Jai Veer,Description for Jai Veer,1958,66
Harmony,Address for Harmony,Description for Harmony,1991,66
Brown & Polson,Address for Brown & Polson,Description for Brown & Polson,1904,47
Miller,Address for Miller,Description for Miller,1957,30
Super Smelly,Address for Super Smelly,Description for Super Smelly,2018,85
Trucrose,Address for Trucrose,Description for Trucrose,1932,42
Beelicious ,Address for Beelicious ,Description for Beelicious ,1945,13
Wai Wai,Address for Wai Wai,Description for Wai Wai,1929,96
Amrutha,Address for Amrutha,Description for Amrutha,1948,42
TGL Co.,Address for TGL Co.,Description for TGL Co.,1987,26
Ambriona,Address for Ambriona,Description for Ambriona,1918,53
Odomos,Address for Odomos,Description for Odomos,2004,45
Om Bhakti,Address for Om Bhakti,Description for Om Bhakti,1927,22
Oasis,Address for Oasis,Description for Oasis,2021,54
LISO,Address for LISO,Description for LISO,1959,64
Hamdard,Address for Hamdard,Description for Hamdard,1928,90
Dae Chun Gim,Address for Dae Chun Gim,Description for Dae Chun Gim,1941,94
Samvruddhi,Address for Samvruddhi,Description for Samvruddhi,1987,23
Sofy,Address for Sofy,Description for Sofy,2006,75
Dkny,Address for Dkny,Description for Dkny,1927,49
Nautica,Address for Nautica,Description for Nautica,2021,65
Feel Fresh,Address for Feel Fresh,Description for Feel Fresh,1948,29
Hindalco,Address for Hindalco,Description for Hindalco,1997,83
Ezee ,Address for Ezee ,Description for Ezee ,2009,57
Fiama Di Wills,Address for Fiama Di Wills,Description for Fiama Di Wills,1958,7
Dabur Amla,Address for Dabur Amla,Description for Dabur Amla,2006,62
Evaflor,Address for Evaflor,Description for Evaflor,2005,66
Smint,Address for Smint,Description for Smint,1912,15
GOPURAM,Address for GOPURAM,Description for GOPURAM,1992,20
Riseup,Address for Riseup,Description for Riseup,1957,0
Nutraj,Address for Nutraj,Description for Nutraj,1920,77
Zandu,Address for Zandu,Description for Zandu,1938,70
Maryaj,Address for Maryaj,Description for Maryaj,1968,38
Tasty Fresh,Address for Tasty Fresh,Description for Tasty Fresh,1919,4
Beverly Hills Polo Club,Address for Beverly Hills Polo Club,Description for Beverly Hills Polo Club,1939,83
Catche,Address for Catche,Description for Catche,1936,71
Tri-Activ,Address for Tri-Activ,Description for Tri-Activ,1983,79
Ammi Samayal,Address for Ammi Samayal,Description for Ammi Samayal,1931,5
Happydent ,Address for Happydent ,Description for Happydent ,1911,59
Bisleri ,Address for Bisleri ,Description for Bisleri ,1915,61
Maltova,Address for Maltova,Description for Maltova,1919,44
Mom's InstaCook,Address for Mom's InstaCook,Description for Mom's InstaCook,1978,33
Sowbhagya foods,Address for Sowbhagya foods,Description for Sowbhagya foods,1957,97
Morelight,Address for Morelight,Description for Morelight,1972,7
Mr Muscle,Address for Mr Muscle,Description for Mr Muscle,2004,52
Aquawhite,Address for Aquawhite,Description for Aquawhite,1915,71
Freshee,Address for Freshee,Description for Freshee,1941,50
Delishh,Address for Delishh,Description for Delishh,1991,25
Choc Coin,Address for Choc Coin,Description for Choc Coin,1946,38
Soyvita,Address for Soyvita,Description for Soyvita,1924,68
BIKA,Address for BIKA,Description for BIKA,1969,97
iD Fresh,Address for iD Fresh,Description for iD Fresh,1905,49
Plum,Address for Plum,Description for Plum,1991,24
Fa,Address for Fa,Description for Fa,1923,25
Briyas,Address for Briyas,Description for Briyas,1939,22
Tropicana,Address for Tropicana,Description for Tropicana,2005,58
TATA Q,Address for TATA Q,Description for TATA Q,2020,72
Shankar Namkeen,Address for Shankar Namkeen,Description for Shankar Namkeen,1944,75
Akar,Address for Akar,Description for Akar,1945,69
Mapro,Address for Mapro,Description for Mapro,1983,81
Live Yum,Address for Live Yum,Description for Live Yum,1900,23
Vijay,Address for Vijay,Description for Vijay,1973,19
Eastern jackfruit365,Address for Eastern jackfruit365,Description for Eastern jackfruit365,1967,77
Toblerone,Address for Toblerone,Description for Toblerone,1917,38
Mrs Bector'S Cremica,Address for Mrs Bector'S Cremica,Description for Mrs Bector'S Cremica,1966,10
Marshmelts,Address for Marshmelts,Description for Marshmelts,1900,85
Hoegaarden 0.0,Address for Hoegaarden 0.0,Description for Hoegaarden 0.0,1957,9
EASY COFFEE,Address for EASY COFFEE,Description for EASY COFFEE,1912,11
Raw Pressery,Address for Raw Pressery,Description for Raw Pressery,1972,54
Bare Essentials,Address for Bare Essentials,Description for Bare Essentials,1919,86
Ziva,Address for Ziva,Description for Ziva,1962,84
Scotchgard,Address for Scotchgard,Description for Scotchgard,1947,71
Bodygard,Address for Bodygard,Description for Bodygard,2019,33
India Circus,Address for India Circus,Description for India Circus,1991,78
Paperkraft,Address for Paperkraft,Description for Paperkraft,1944,2
Diyaz,Address for Diyaz,Description for Diyaz,1973,3
Prasuma,Address for Prasuma,Description for Prasuma,2009,76
Manna Go Grains,Address for Manna Go Grains,Description for Manna Go Grains,1938,91
PRAVIN MIXBOX,Address for PRAVIN MIXBOX,Description for PRAVIN MIXBOX,1997,3
Pinnacle,Address for Pinnacle,Description for Pinnacle,1949,91
NIC,Address for NIC,Description for NIC,1994,83
Coco Soul,Address for Coco Soul,Description for Coco Soul,1990,53
Fairkraft Creations,Address for Fairkraft Creations,Description for Fairkraft Creations,1966,66
Bhikharam chandmal,Address for Bhikharam chandmal,Description for Bhikharam chandmal,1904,5
Dhampur Green,Address for Dhampur Green,Description for Dhampur Green,1964,67
Hair & Care,Address for Hair & Care,Description for Hair & Care,1916,70
All Good Scents,Address for All Good Scents,Description for All Good Scents,1978,94
Pure Wipes,Address for Pure Wipes,Description for Pure Wipes,1911,22
Yellow Crumb,Address for Yellow Crumb,Description for Yellow Crumb,1945,31
HealthChoice,Address for HealthChoice,Description for HealthChoice,2012,6
Mikado's,Address for Mikado's,Description for Mikado's,1996,24
Energizer,Address for Energizer,Description for Energizer,2010,66
Smiley-Quick Dry,Address for Smiley-Quick Dry,Description for Smiley-Quick Dry,2008,47
The Healthy Cravings Co.,Address for The Healthy Cravings Co.,Description for The Healthy Cravings Co.,1916,94
Ovaltine,Address for Ovaltine,Description for Ovaltine,1957,54
Brownie Cottage,Address for Brownie Cottage,Description for Brownie Cottage,1907,1
Morton,Address for Morton,Description for Morton,1962,70
Dr. Schar,Address for Dr. Schar,Description for Dr. Schar,1931,44
Sofia,Address for Sofia,Description for Sofia,1918,8
Fakira,Address for Fakira,Description for Fakira,2002,73
Sanitt,Address for Sanitt,Description for Sanitt,1914,53
Popular Essentials,Address for Popular Essentials,Description for Popular Essentials,1921,64
Kerala,Address for Kerala,Description for Kerala,1987,28
Ragu,Address for Ragu,Description for Ragu,1914,6
Coronation,Address for Coronation,Description for Coronation,1992,94
Om sri Kar,Address for Om sri Kar,Description for Om sri Kar,1917,93
Salon,Address for Salon,Description for Salon,1994,10
HE,Address for HE,Description for HE,1988,12
Naagin ,Address for Naagin ,Description for Naagin ,1986,30
Royal Touch,Address for Royal Touch,Description for Royal Touch,1993,18
Volini,Address for Volini,Description for Volini,2022,89
Arham,Address for Arham,Description for Arham,1931,32
Forgreen,Address for Forgreen,Description for Forgreen,1927,26
Kwality,Address for Kwality,Description for Kwality,1912,97
Montanini,Address for Montanini,Description for Montanini,1980,61
Daarzel,Address for Daarzel,Description for Daarzel,1948,32
Zermisol,Address for Zermisol,Description for Zermisol,1921,2
Cadburry,Address for Cadburry,Description for Cadburry,1957,16
Clear,Address for Clear,Description for Clear,1982,78
Mothercare ,Address for Mothercare ,Description for Mothercare ,1970,26
Charmis,Address for Charmis,Description for Charmis,2013,49
Unity,Address for Unity,Description for Unity,1922,98
Pediasure,Address for Pediasure,Description for Pediasure,2018,15
PRO ORGANIC LIFE,Address for PRO ORGANIC LIFE,Description for PRO ORGANIC LIFE,1956,69
Bonorganik,Address for Bonorganik,Description for Bonorganik,1960,47
IKO,Address for IKO,Description for IKO,2015,98
Everteen,Address for Everteen,Description for Everteen,2017,85
VITRO,Address for VITRO,Description for VITRO,1992,60
Auravedic,Address for Auravedic,Description for Auravedic,1994,83
Khadi Meghdooth,Address for Khadi Meghdooth,Description for Khadi Meghdooth,2007,78
Morisons ,Address for Morisons ,Description for Morisons ,2007,98
Lehar,Address for Lehar,Description for Lehar,1975,92
Ants-Duraprot,Address for Ants-Duraprot,Description for Ants-Duraprot,1992,11
SSCPL HERBALS,Address for SSCPL HERBALS,Description for SSCPL HERBALS,1915,29
Meatzza,Address for Meatzza,Description for Meatzza,1981,33
Dip,Address for Dip,Description for Dip,2019,4
Ponvandu,Address for Ponvandu,Description for Ponvandu,1958,40
Pez,Address for Pez,Description for Pez,1929,80
Godrej Nupur,Address for Godrej Nupur,Description for Godrej Nupur,1940,47
ICare,Address for ICare,Description for ICare,2000,26
MCaffeine ,Address for MCaffeine ,Description for MCaffeine ,1904,29
Honeywell,Address for Honeywell,Description for Honeywell,1958,45
Hunter's Gourmet,Address for Hunter's Gourmet,Description for Hunter's Gourmet,1919,18
Hershey's Kisses,Address for Hershey's Kisses,Description for Hershey's Kisses,1983,47
Ujala Supreme,Address for Ujala Supreme,Description for Ujala Supreme,1991,7
Lee Kum Kee,Address for Lee Kum Kee,Description for Lee Kum Kee,1937,32
Barbican ,Address for Barbican ,Description for Barbican ,1988,33
Vitro Naturals ,Address for Vitro Naturals ,Description for Vitro Naturals ,1998,12
Cook4U,Address for Cook4U,Description for Cook4U,1984,32
Suryaflame,Address for Suryaflame,Description for Suryaflame,1943,19
SAFE-KI,Address for SAFE-KI,Description for SAFE-KI,1926,96
Maya,Address for Maya,Description for Maya,2005,21
Tang,Address for Tang,Description for Tang,1914,55
Poop-cee,Address for Poop-cee,Description for Poop-cee,1947,47
Opera,Address for Opera,Description for Opera,1900,84
Oxylife,Address for Oxylife,Description for Oxylife,1903,44
Release on,Address for Release on,Description for Release on,1977,40
SterloMax,Address for SterloMax,Description for SterloMax,1991,41
Ojasvita,Address for Ojasvita,Description for Ojasvita,1985,10
Dabur Babool,Address for Dabur Babool,Description for Dabur Babool,2016,21
Vwash,Address for Vwash,Description for Vwash,1906,94
Mangalam,Address for Mangalam,Description for Mangalam,1923,44
Montex,Address for Montex,Description for Montex,1967,4
EverEve,Address for EverEve,Description for EverEve,1966,8
On The Run,Address for On The Run,Description for On The Run,2014,82
Ice Breakers,Address for Ice Breakers,Description for Ice Breakers,1995,42
Hankley,Address for Hankley,Description for Hankley,1993,93
Mondsub,Address for Mondsub,Description for Mondsub,1926,57
Lal,Address for Lal,Description for Lal,1910,55
Duncan Hines,Address for Duncan Hines,Description for Duncan Hines,1965,84
Reynolds,Address for Reynolds,Description for Reynolds,1915,91
Germi Chek,Address for Germi Chek,Description for Germi Chek,2009,90
Born Good,Address for Born Good,Description for Born Good,1981,94
Hamam ,Address for Hamam ,Description for Hamam ,1904,10
Japanese Choice,Address for Japanese Choice,Description for Japanese Choice,1947,48
Nicka K,Address for Nicka K,Description for Nicka K,1949,22
Bibo,Address for Bibo,Description for Bibo,2002,15
Golden Tips,Address for Golden Tips,Description for Golden Tips,2018,79
Glow & Handsome,Address for Glow & Handsome,Description for Glow & Handsome,1968,21
Cremica,Address for Cremica,Description for Cremica,1967,13
Hart Beat,Address for Hart Beat,Description for Hart Beat,1931,72
Nutella,Address for Nutella,Description for Nutella,1955,41
Maybelline New York,Address for Maybelline New York,Description for Maybelline New York,2012,16
Natures Organic,Address for Natures Organic,Description for Natures Organic,1977,20
Bentley,Address for Bentley,Description for Bentley,1979,19
Purple Hippie,Address for Purple Hippie,Description for Purple Hippie,2020,17
Hintz,Address for Hintz,Description for Hintz,2017,65
Ulric De Varens,Address for Ulric De Varens,Description for Ulric De Varens,1975,11
Xishifeng,Address for Xishifeng,Description for Xishifeng,1975,41
MTR FOODS,Address for MTR FOODS,Description for MTR FOODS,2001,55
JLT,Address for JLT,Description for JLT,1914,90
Cherry Blossom,Address for Cherry Blossom,Description for Cherry Blossom,1987,70
DIVING DUCK,Address for DIVING DUCK,Description for DIVING DUCK,1948,71
Renew Air,Address for Renew Air,Description for Renew Air,1913,21
Rica,Address for Rica,Description for Rica,2007,94
Good Morning,Address for Good Morning,Description for Good Morning,1986,39
Aura,Address for Aura,Description for Aura,2006,13
Oriental,Address for Oriental,Description for Oriental,1913,86
Lune De Miel ,Address for Lune De Miel ,Description for Lune De Miel ,1972,39
Jivika Naturals,Address for Jivika Naturals,Description for Jivika Naturals,1902,49
Crispees,Address for Crispees,Description for Crispees,1966,27
Tree Grab,Address for Tree Grab,Description for Tree Grab,2011,73
Godrej Proclean,Address for Godrej Proclean,Description for Godrej Proclean,1924,0
Colourmist,Address for Colourmist,Description for Colourmist,1938,84
RED LINE,Address for RED LINE,Description for RED LINE,1973,7
Brasso,Address for Brasso,Description for Brasso,1975,68
Tedemi,Address for Tedemi,Description for Tedemi,1953,90
Revive,Address for Revive,Description for Revive,2012,72
Batiste,Address for Batiste,Description for Batiste,1946,1
RENUZIT,Address for RENUZIT,Description for RENUZIT,1970,0
Zazzy,Address for Zazzy,Description for Zazzy,1921,4
AMADO,Address for AMADO,Description for AMADO,1970,81
Apex,Address for Apex,Description for Apex,1975,30
Unique Arts & Interiors,Address for Unique Arts & Interiors,Description for Unique Arts & Interiors,1983,33
Cadbury BournVita,Address for Cadbury BournVita,Description for Cadbury BournVita,1910,28
Neo foods ,Address for Neo foods ,Description for Neo foods ,1917,62
Jayanthi Coffee,Address for Jayanthi Coffee,Description for Jayanthi Coffee,1902,74
Corniche,Address for Corniche,Description for Corniche,1914,66
Dermal,Address for Dermal,Description for Dermal,2017,13
bigbasket,Address for bigbasket,Description for bigbasket,2010,88
Tata Salt,Address for Tata Salt,Description for Tata Salt,1979,25
IGLOO,Address for IGLOO,Description for IGLOO,1919,62
Isvaryam,Address for Isvaryam,Description for Isvaryam,1908,28
OGMO,Address for OGMO,Description for OGMO,2015,61
Nestle Koko Krunch,Address for Nestle Koko Krunch,Description for Nestle Koko Krunch,1997,2
The Earth Reserve,Address for The Earth Reserve,Description for The Earth Reserve,1915,12
Just A Minute,Address for Just A Minute,Description for Just A Minute,1912,10
Spice Liquid,Address for Spice Liquid,Description for Spice Liquid,2014,62
Anandam,Address for Anandam,Description for Anandam,1926,5
Orion,Address for Orion,Description for Orion,2016,67
Remy Marquis,Address for Remy Marquis,Description for Remy Marquis,1948,76
Sanjeev Kapoor,Address for Sanjeev Kapoor,Description for Sanjeev Kapoor,1969,91
Laxminarayan,Address for Laxminarayan,Description for Laxminarayan,1959,3
Hairmac,Address for Hairmac,Description for Hairmac,1993,89
Promen,Address for Promen,Description for Promen,1973,26
All That Dips,Address for All That Dips,Description for All That Dips,1982,5
Pony Effect,Address for Pony Effect,Description for Pony Effect,1951,0
Foodecor,Address for Foodecor,Description for Foodecor,1996,62
Tata ,Address for Tata ,Description for Tata ,1931,26
Candid,Address for Candid,Description for Candid,1927,9
Good Luck,Address for Good Luck,Description for Good Luck,1969,39
Terra,Address for Terra,Description for Terra,1927,65
Himani,Address for Himani,Description for Himani,1969,19
Jacker ,Address for Jacker ,Description for Jacker ,1963,59
Monini,Address for Monini,Description for Monini,1967,56
Kims,Address for Kims,Description for Kims,2017,19
Strawberry,Address for Strawberry,Description for Strawberry,1924,24
Relispray,Address for Relispray,Description for Relispray,2015,29
Oreo,Address for Oreo,Description for Oreo,1936,5
Silk,Address for Silk,Description for Silk,1909,14
Cadbury Gems,Address for Cadbury Gems,Description for Cadbury Gems,1969,15
Fantastic,Address for Fantastic,Description for Fantastic,1920,29
Mr South,Address for Mr South,Description for Mr South,2001,46
Kawach,Address for Kawach,Description for Kawach,1939,0
Veg Wash +,Address for Veg Wash +,Description for Veg Wash +,2002,51
Brother,Address for Brother,Description for Brother,1908,67
Ensure,Address for Ensure,Description for Ensure,1938,96
Zevic,Address for Zevic,Description for Zevic,1980,60
Nimeasy,Address for Nimeasy,Description for Nimeasy,1917,6
Meixiang,Address for Meixiang,Description for Meixiang,1964,64
Schweppes,Address for Schweppes,Description for Schweppes,1923,87
Shree Mahalakshmi ,Address for Shree Mahalakshmi ,Description for Shree Mahalakshmi ,1962,6
Boing,Address for Boing,Description for Boing,1922,14
Bon curry ,Address for Bon curry ,Description for Bon curry ,1901,60
Creme 21,Address for Creme 21,Description for Creme 21,1965,21
Carefree,Address for Carefree,Description for Carefree,1932,1
Madilu,Address for Madilu,Description for Madilu,1961,35
Maxo,Address for Maxo,Description for Maxo,1914,91
Nestle A+,Address for Nestle A+,Description for Nestle A+,1947,33
Lapar,Address for Lapar,Description for Lapar,1998,88
Ruchi,Address for Ruchi,Description for Ruchi,1978,52
Yongsheng,Address for Yongsheng,Description for Yongsheng,2000,29
Scalpe Pro,Address for Scalpe Pro,Description for Scalpe Pro,1925,3
DND,Address for DND,Description for DND,1921,62
The Kitchen Farms,Address for The Kitchen Farms,Description for The Kitchen Farms,1915,4
Sunbean  ,Address for Sunbean  ,Description for Sunbean  ,2006,39
La Costena,Address for La Costena,Description for La Costena,2004,12
Amulya,Address for Amulya,Description for Amulya,1969,46
Shakira,Address for Shakira,Description for Shakira,1947,64
Clean N Fresh,Address for Clean N Fresh,Description for Clean N Fresh,1905,60
Absorb-It,Address for Absorb-It,Description for Absorb-It,2018,84
Livon,Address for Livon,Description for Livon,1906,54
Prozo+,Address for Prozo+,Description for Prozo+,1906,44
Desi Utthana,Address for Desi Utthana,Description for Desi Utthana,1903,88
ezy,Address for ezy,Description for ezy,1990,86
M Stick,Address for M Stick,Description for M Stick,1918,20
BONGO BHOG,Address for BONGO BHOG,Description for BONGO BHOG,1967,27
Swaad,Address for Swaad,Description for Swaad,1901,11
Lijjat,Address for Lijjat,Description for Lijjat,1950,51
Nisargalaya,Address for Nisargalaya,Description for Nisargalaya,1996,29
Pukka,Address for Pukka,Description for Pukka,1948,15
Hi-Fresh,Address for Hi-Fresh,Description for Hi-Fresh,2021,88
Siang Pure,Address for Siang Pure,Description for Siang Pure,1964,77
Prowomen,Address for Prowomen,Description for Prowomen,2019,59
Kasturi,Address for Kasturi,Description for Kasturi,1994,71
Fng,Address for Fng,Description for Fng,1997,70
Basso,Address for Basso,Description for Basso,1959,51
OLIVANA,Address for OLIVANA,Description for OLIVANA,1984,62
Karkhana,Address for Karkhana,Description for Karkhana,1936,36
Saafoo,Address for Saafoo,Description for Saafoo,1919,80
Tropics,Address for Tropics,Description for Tropics,1928,84
COFFEE JOY,Address for COFFEE JOY,Description for COFFEE JOY,1908,43
Sakura,Address for Sakura,Description for Sakura,1950,61
Bergner,Address for Bergner,Description for Bergner,1906,76
WaghBakri,Address for WaghBakri,Description for WaghBakri,1951,19
B2B,Address for B2B,Description for B2B,1909,95
Nature's Treat,Address for Nature's Treat,Description for Nature's Treat,1954,14
Aerostar,Address for Aerostar,Description for Aerostar,1983,96
Cute Girl,Address for Cute Girl,Description for Cute Girl,1992,8
Bhikhaaram Chandmal,Address for Bhikhaaram Chandmal,Description for Bhikhaaram Chandmal,1934,53
Indus Valley,Address for Indus Valley,Description for Indus Valley,1977,99
Keratone,Address for Keratone,Description for Keratone,1913,26
Iodex,Address for Iodex,Description for Iodex,1911,44
Regal Essence,Address for Regal Essence,Description for Regal Essence,1954,22
Society,Address for Society,Description for Society,2008,76
Tofu,Address for Tofu,Description for Tofu,2008,84
Sloan's,Address for Sloan's,Description for Sloan's,2019,44
Some More,Address for Some More,Description for Some More,1927,83
Fox'S,Address for Fox'S,Description for Fox'S,1977,37
Aristocrat,Address for Aristocrat,Description for Aristocrat,1909,26
Armaf,Address for Armaf,Description for Armaf,2018,38
ZEISS,Address for ZEISS,Description for ZEISS,2011,25
Puro,Address for Puro,Description for Puro,1957,44
Farmers Family,Address for Farmers Family,Description for Farmers Family,1902,2
Orysa,Address for Orysa,Description for Orysa,1963,51
Vochelle,Address for Vochelle,Description for Vochelle,1921,19
Ancient Living,Address for Ancient Living,Description for Ancient Living,1973,19
Goodluck,Address for Goodluck,Description for Goodluck,1926,39
Amrutanjan Fruitnik,Address for Amrutanjan Fruitnik,Description for Amrutanjan Fruitnik,1908,59
