brand,address,description,founding_year,num_of_products
Lifebuoy,Address for Lifebuoy,Description for Lifebuoy,1943,22
Asal,Address for Asal,Description for Asal,1953,54
Loacker,Address for Loacker,Description for Loacker,1943,14
Spruce Shave Club,Address for Spruce Shave Club,Description for Spruce Shave Club,1938,47
Kerk,Address for Kerk,Description for Kerk,1931,28
Mr.Copper King,Address for Mr.Copper King,Description for Mr.Copper King,2007,99
Cadbury Dairy Milk,Address for Cadbury Dairy Milk,Description for Cadbury Dairy Milk,1983,51
IFFCO Urban Gardens,Address for IFFCO Urban Gardens,Description for IFFCO Urban Gardens,1951,25
Continental,Address for Continental,Description for Continental,1965,65
Chabaa,Address for Chabaa,Description for Chabaa,1944,4
Snapin,Address for Snapin,Description for Snapin,2004,70
Fem,Address for Fem,Description for Fem,2007,46
Magix,Address for Magix,Description for Magix,2016,75
SRS,Address for SRS,Description for SRS,1908,20
McCain,Address for McCain,Description for McCain,1917,89
3BO,Address for 3BO,Description for 3BO,1915,47
CamPure,Address for CamPure,Description for CamPure,1986,83
Nike,Address for Nike,Description for Nike,1930,18
Horlicks,Address for Horlicks,Description for Horlicks,1941,63
Marudhar,Address for Marudhar,Description for Marudhar,1906,43
Tex Mex Salsalito,Address for Tex Mex Salsalito,Description for Tex Mex Salsalito,1908,39
Buffet ,Address for Buffet ,Description for Buffet ,2004,60
Elite,Address for Elite,Description for Elite,1940,64
Vim,Address for Vim,Description for Vim,1998,65
Dimpu Poop-Cee,Address for Dimpu Poop-Cee,Description for Dimpu Poop-Cee,1947,36
Everest,Address for Everest,Description for Everest,1902,33
Panasonic,Address for Panasonic,Description for Panasonic,1973,55
Mama,Address for Mama,Description for Mama,1918,41
Bambino,Address for Bambino,Description for Bambino,2019,85
Aristo,Address for Aristo,Description for Aristo,1973,60
Sunsilk,Address for Sunsilk,Description for Sunsilk,1955,28
FarmVeda,Address for FarmVeda,Description for FarmVeda,1912,0
Honey Twigs,Address for Honey Twigs,Description for Honey Twigs,1996,58
Himalaya Men,Address for Himalaya Men,Description for Himalaya Men,1904,97
Ongs,Address for Ongs,Description for Ongs,1910,27
50ap,Address for 50ap,Description for 50ap,1940,95
Tify,Address for Tify,Description for Tify,1911,41
Vaada,Address for Vaada,Description for Vaada,2000,34
Domex,Address for Domex,Description for Domex,1980,56
XPEL,Address for XPEL,Description for XPEL,1915,98
Giffy,Address for Giffy,Description for Giffy,1936,14
Harpic,Address for Harpic,Description for Harpic,1907,67
Walkers,Address for Walkers,Description for Walkers,1999,82
Mamaearth,Address for Mamaearth,Description for Mamaearth,1956,43
Nescafe ,Address for Nescafe ,Description for Nescafe ,2014,21
Pure,Address for Pure,Description for Pure,1973,44
Embark,Address for Embark,Description for Embark,1963,8
Saura,Address for Saura,Description for Saura,2012,15
Hakim,Address for Hakim,Description for Hakim,1931,8
Bodyguard,Address for Bodyguard,Description for Bodyguard,1980,89
Yummiez,Address for Yummiez,Description for Yummiez,1981,67
Paaka,Address for Paaka,Description for Paaka,1994,62
Sundrop,Address for Sundrop,Description for Sundrop,1945,33
Emperia,Address for Emperia,Description for Emperia,2020,66
Nirapara,Address for Nirapara,Description for Nirapara,2017,0
SDA PAPPADS,Address for SDA PAPPADS,Description for SDA PAPPADS,1945,98
SPICHI,Address for SPICHI,Description for SPICHI,2006,48
MilkLane,Address for MilkLane,Description for MilkLane,1937,87
Saucery,Address for Saucery,Description for Saucery,1945,6
SHEBA,Address for SHEBA,Description for SHEBA,2021,73
The Moms Co,Address for The Moms Co,Description for The Moms Co,1920,3
Bauli,Address for Bauli,Description for Bauli,1981,7
Glaceau ,Address for Glaceau ,Description for Glaceau ,1992,90
Trust,Address for Trust,Description for Trust,2015,55
Claycraft,Address for Claycraft,Description for Claycraft,1990,56
Braun,Address for Braun,Description for Braun,1928,14
FAST&UP,Address for FAST&UP,Description for FAST&UP,1926,19
Seven seas,Address for Seven seas,Description for Seven seas,2008,92
Vi-john,Address for Vi-john,Description for Vi-john,1909,99
India Gate,Address for India Gate,Description for India Gate,1926,38
Udupi Ruchi,Address for Udupi Ruchi,Description for Udupi Ruchi,1972,27
Sugar free,Address for Sugar free,Description for Sugar free,1905,5
Mirabelle,Address for Mirabelle,Description for Mirabelle,2013,54
Fragata,Address for Fragata,Description for Fragata,1942,23
Open Secret,Address for Open Secret,Description for Open Secret,1958,13
Glow & Lovely,Address for Glow & Lovely,Description for Glow & Lovely,1917,77
Eveready,Address for Eveready,Description for Eveready,1987,98
Nimwash,Address for Nimwash,Description for Nimwash,1996,21
Nutriorg,Address for Nutriorg,Description for Nutriorg,2017,21
Close Up,Address for Close Up,Description for Close Up,1960,8
Natural Vibes,Address for Natural Vibes,Description for Natural Vibes,2021,56
Go ,Address for Go ,Description for Go ,1911,8
Kitchen Essentials,Address for Kitchen Essentials,Description for Kitchen Essentials,1968,92
Delicious,Address for Delicious,Description for Delicious,1933,46
Set Wet Studio X,Address for Set Wet Studio X,Description for Set Wet Studio X,2017,14
Globus Naturals,Address for Globus Naturals,Description for Globus Naturals,1964,48
Dr. Oetker,Address for Dr. Oetker,Description for Dr. Oetker,1978,90
Clenz U,Address for Clenz U,Description for Clenz U,1956,40
GoYNG,Address for GoYNG,Description for GoYNG,1959,39
Lizol,Address for Lizol,Description for Lizol,2010,54
Meera,Address for Meera,Description for Meera,1949,39
Ching'S Secret,Address for Ching'S Secret,Description for Ching'S Secret,1986,85
&Stirred,Address for &Stirred,Description for &Stirred,1904,51
Swastik,Address for Swastik,Description for Swastik,1920,87
Dheepam,Address for Dheepam,Description for Dheepam,1960,80
Chings,Address for Chings,Description for Chings,2009,46
Deli Sun,Address for Deli Sun,Description for Deli Sun,1969,11
Pitambari,Address for Pitambari,Description for Pitambari,1983,37
Wingreens Farms,Address for Wingreens Farms,Description for Wingreens Farms,1915,17
Elephant ,Address for Elephant ,Description for Elephant ,1932,84
Sirona,Address for Sirona,Description for Sirona,1924,73
Momkhatai,Address for Momkhatai,Description for Momkhatai,1957,51
Care,Address for Care,Description for Care,1921,21
Rasna,Address for Rasna,Description for Rasna,1987,78
Farmland,Address for Farmland,Description for Farmland,1925,15
Nyassa,Address for Nyassa,Description for Nyassa,1976,98
Cavins,Address for Cavins,Description for Cavins,1959,99
Frosch,Address for Frosch,Description for Frosch,1987,31
Navneet Youva,Address for Navneet Youva,Description for Navneet Youva,1941,22
Revlon,Address for Revlon,Description for Revlon,2000,50
Aloe Veda,Address for Aloe Veda,Description for Aloe Veda,2022,49
Comfy Snug Fit,Address for Comfy Snug Fit,Description for Comfy Snug Fit,2007,56
Finish,Address for Finish,Description for Finish,1901,53
Protinex ,Address for Protinex ,Description for Protinex ,1973,23
Shankara,Address for Shankara,Description for Shankara,2019,48
TRESemme,Address for TRESemme,Description for TRESemme,2014,7
Iyers ,Address for Iyers ,Description for Iyers ,1962,26
Supermax,Address for Supermax,Description for Supermax,1948,15
SKI,Address for SKI,Description for SKI,1922,36
Pantene,Address for Pantene,Description for Pantene,1986,54
Kaiv,Address for Kaiv,Description for Kaiv,2011,32
Vegetal,Address for Vegetal,Description for Vegetal,2005,84
Tiffany,Address for Tiffany,Description for Tiffany,1946,88
Hawkins,Address for Hawkins,Description for Hawkins,1937,39
Lux,Address for Lux,Description for Lux,1941,53
Baygon,Address for Baygon,Description for Baygon,1980,48
Organica,Address for Organica,Description for Organica,1973,4
Maxcare,Address for Maxcare,Description for Maxcare,1937,40
Gery Gone Mad,Address for Gery Gone Mad,Description for Gery Gone Mad,1912,47
Cinthol,Address for Cinthol,Description for Cinthol,1955,24
REGENCY,Address for REGENCY,Description for REGENCY,1977,52
Bvlgari,Address for Bvlgari,Description for Bvlgari,1909,9
ULLAS VIVIDHA,Address for ULLAS VIVIDHA,Description for ULLAS VIVIDHA,1992,50
Mojo Bar,Address for Mojo Bar,Description for Mojo Bar,1951,69
NutraHi,Address for NutraHi,Description for NutraHi,1976,35
Panache,Address for Panache,Description for Panache,1989,33
Shri & Sam,Address for Shri & Sam,Description for Shri & Sam,1917,87
VAHDAM,Address for VAHDAM,Description for VAHDAM,1928,22
Cadbury Fuse,Address for Cadbury Fuse,Description for Cadbury Fuse,1916,39
Meishi,Address for Meishi,Description for Meishi,1939,9
Ambi pur,Address for Ambi pur,Description for Ambi pur,1949,22
The Man Company,Address for The Man Company,Description for The Man Company,2016,38
Eva,Address for Eva,Description for Eva,1935,82
Borosil,Address for Borosil,Description for Borosil,1933,63
Hygienix,Address for Hygienix,Description for Hygienix,1984,85
Entree,Address for Entree,Description for Entree,1978,87
Oleev,Address for Oleev,Description for Oleev,1973,40
Vaseline,Address for Vaseline,Description for Vaseline,2017,72
Quaker,Address for Quaker,Description for Quaker,1977,72
Ravi,Address for Ravi,Description for Ravi,1971,39
Jaji,Address for Jaji,Description for Jaji,1965,53
Srushti Gold,Address for Srushti Gold,Description for Srushti Gold,1926,72
Lexus,Address for Lexus,Description for Lexus,1986,89
The Nibble Box,Address for The Nibble Box,Description for The Nibble Box,2019,43
Opex,Address for Opex,Description for Opex,1967,62
Didier & Frank ,Address for Didier & Frank ,Description for Didier & Frank ,1926,69
Serapheena,Address for Serapheena,Description for Serapheena,1959,51
Carolina Herrera ,Address for Carolina Herrera ,Description for Carolina Herrera ,1968,31
LetsShave,Address for LetsShave,Description for LetsShave,1961,47
JCPL,Address for JCPL,Description for JCPL,1910,18
Love In Life,Address for Love In Life,Description for Love In Life,1995,79
Vega,Address for Vega,Description for Vega,1956,22
Enchanteur,Address for Enchanteur,Description for Enchanteur,1914,85
Bogutti,Address for Bogutti,Description for Bogutti,2021,62
Mukti,Address for Mukti,Description for Mukti,1961,92
Police,Address for Police,Description for Police,1995,53
Fiama,Address for Fiama,Description for Fiama,2007,86
Lever Ayush,Address for Lever Ayush,Description for Lever Ayush,1962,82
Spinz,Address for Spinz,Description for Spinz,1987,29
Duracell,Address for Duracell,Description for Duracell,2018,29
Bella,Address for Bella,Description for Bella,1947,82
Bobs Red Mill,Address for Bobs Red Mill,Description for Bobs Red Mill,1915,4
Nature's Pick ,Address for Nature's Pick ,Description for Nature's Pick ,2008,22
Wow Skin Science,Address for Wow Skin Science,Description for Wow Skin Science,2022,88
GIRI,Address for GIRI,Description for GIRI,1910,78
Cesar,Address for Cesar,Description for Cesar,1982,88
Max Health ,Address for Max Health ,Description for Max Health ,1946,46
Spraymintt,Address for Spraymintt,Description for Spraymintt,1964,41
Monsoon Harvest,Address for Monsoon Harvest,Description for Monsoon Harvest,1975,55
Adithya,Address for Adithya,Description for Adithya,1969,24
Jain Farm Fresh,Address for Jain Farm Fresh,Description for Jain Farm Fresh,1999,95
Playboy,Address for Playboy,Description for Playboy,1975,13
Klf ,Address for Klf ,Description for Klf ,1983,71
Mangaldeep,Address for Mangaldeep,Description for Mangaldeep,1950,68
Purepet,Address for Purepet,Description for Purepet,1984,56
Sangam Sweets,Address for Sangam Sweets,Description for Sangam Sweets,1914,68
Anatomicals,Address for Anatomicals,Description for Anatomicals,2007,80
Kesh King,Address for Kesh King,Description for Kesh King,1982,85
D-Alive,Address for D-Alive,Description for D-Alive,1998,14
Real Activ,Address for Real Activ,Description for Real Activ,1996,49
David Beckham,Address for David Beckham,Description for David Beckham,1982,98
Polyset,Address for Polyset,Description for Polyset,2020,89
Colin,Address for Colin,Description for Colin,1932,19
Milk Ma,Address for Milk Ma,Description for Milk Ma,1965,70
Praakritik,Address for Praakritik,Description for Praakritik,1934,8
Paw Paw,Address for Paw Paw,Description for Paw Paw,2016,87
Bhuira,Address for Bhuira,Description for Bhuira,2020,97
Corelle,Address for Corelle,Description for Corelle,1966,22
Sunfeast YiPPee!,Address for Sunfeast YiPPee!,Description for Sunfeast YiPPee!,2014,86
Organic Nation,Address for Organic Nation,Description for Organic Nation,1986,37
Mountain Dew,Address for Mountain Dew,Description for Mountain Dew,1926,82
Nimyle,Address for Nimyle,Description for Nimyle,1994,18
Center Fresh,Address for Center Fresh,Description for Center Fresh,1902,40
Fini,Address for Fini,Description for Fini,1934,50
Balaji foods,Address for Balaji foods,Description for Balaji foods,2019,78
Sugarlite,Address for Sugarlite,Description for Sugarlite,1942,94
Wheel ,Address for Wheel ,Description for Wheel ,1920,73
Parry's,Address for Parry's,Description for Parry's,1921,74
Grocery Farm,Address for Grocery Farm,Description for Grocery Farm,1966,35
Namoo,Address for Namoo,Description for Namoo,1906,18
A.D.J Classic Choice,Address for A.D.J Classic Choice,Description for A.D.J Classic Choice,1965,2
HappyChef,Address for HappyChef,Description for HappyChef,1993,10
Jungle Magic,Address for Jungle Magic,Description for Jungle Magic,1958,59
Oral-B,Address for Oral-B,Description for Oral-B,1916,45
Winkies,Address for Winkies,Description for Winkies,1995,20
Peacock ,Address for Peacock ,Description for Peacock ,1982,72
Ambipur,Address for Ambipur,Description for Ambipur,1999,84
Amrutanjan,Address for Amrutanjan,Description for Amrutanjan,1912,49
Hot Muggs,Address for Hot Muggs,Description for Hot Muggs,1983,29
Freale,Address for Freale,Description for Freale,1964,27
The Whole Truth,Address for The Whole Truth,Description for The Whole Truth,1920,38
Rishta,Address for Rishta,Description for Rishta,1969,35
SDA CANDYS,Address for SDA CANDYS,Description for SDA CANDYS,1975,64
Love Beauty & Planet,Address for Love Beauty & Planet,Description for Love Beauty & Planet,1948,50
Ajinomoto,Address for Ajinomoto,Description for Ajinomoto,1906,77
Jagdamba,Address for Jagdamba,Description for Jagdamba,1944,30
Prabhat,Address for Prabhat,Description for Prabhat,2022,87
Porna,Address for Porna,Description for Porna,1999,35
Naturals,Address for Naturals,Description for Naturals,2006,49
Nature Way,Address for Nature Way,Description for Nature Way,2010,78
Pringles,Address for Pringles,Description for Pringles,1923,93
Disano,Address for Disano,Description for Disano,1957,59
Man Arden,Address for Man Arden,Description for Man Arden,1973,5
Parachute Advansed,Address for Parachute Advansed,Description for Parachute Advansed,1934,28
e-millet,Address for e-millet,Description for e-millet,1944,94
Matrix,Address for Matrix,Description for Matrix,1964,94
Polyguards,Address for Polyguards,Description for Polyguards,2020,45
Kissan,Address for Kissan,Description for Kissan,1927,9
KNM,Address for KNM,Description for KNM,1995,75
Paree Pariz,Address for Paree Pariz,Description for Paree Pariz,2015,36
Cartini by Godrej,Address for Cartini by Godrej,Description for Cartini by Godrej,1975,68
Chicco,Address for Chicco,Description for Chicco,1939,64
Savlon,Address for Savlon,Description for Savlon,1972,15
Mirah Belle,Address for Mirah Belle,Description for Mirah Belle,2016,50
Jabsons,Address for Jabsons,Description for Jabsons,1933,71
Home Mate,Address for Home Mate,Description for Home Mate,1971,84
Orileys,Address for Orileys,Description for Orileys,2021,7
The Face Shop,Address for The Face Shop,Description for The Face Shop,1937,76
Oxy Life,Address for Oxy Life,Description for Oxy Life,1914,63
Storia,Address for Storia,Description for Storia,1932,64
Twinings,Address for Twinings,Description for Twinings,1914,39
Biocare ,Address for Biocare ,Description for Biocare ,1986,85
Glass Ideas ,Address for Glass Ideas ,Description for Glass Ideas ,1903,7
Crompton,Address for Crompton,Description for Crompton,1939,98
Lotus Organics+,Address for Lotus Organics+,Description for Lotus Organics+,1947,87
Woh Hup,Address for Woh Hup,Description for Woh Hup,1908,73
Ela,Address for Ela,Description for Ela,1943,44
Ferrero,Address for Ferrero,Description for Ferrero,1977,41
Ruchi magic,Address for Ruchi magic,Description for Ruchi magic,2007,52
Chai Point,Address for Chai Point,Description for Chai Point,1991,10
Refresh Plus,Address for Refresh Plus,Description for Refresh Plus,2013,99
Head & shoulders,Address for Head & shoulders,Description for Head & shoulders,1923,38
Ravi Agencies,Address for Ravi Agencies,Description for Ravi Agencies,2005,89
Scholl,Address for Scholl,Description for Scholl,2005,30
Daadis ,Address for Daadis ,Description for Daadis ,1928,97
Enfagrow A+,Address for Enfagrow A+,Description for Enfagrow A+,1950,91
Niine,Address for Niine,Description for Niine,1935,39
The Better Home,Address for The Better Home,Description for The Better Home,2001,44
Bliss Tree,Address for Bliss Tree,Description for Bliss Tree,2006,49
Glenand,Address for Glenand,Description for Glenand,1907,32
Annai,Address for Annai,Description for Annai,1990,14
Nayasa,Address for Nayasa,Description for Nayasa,2008,38
Licious,Address for Licious,Description for Licious,1976,27
Vinayak,Address for Vinayak,Description for Vinayak,1961,90
Sterling,Address for Sterling,Description for Sterling,2014,79
Dabur Red,Address for Dabur Red,Description for Dabur Red,1980,53
Arya Organic,Address for Arya Organic,Description for Arya Organic,1981,2
Selpak,Address for Selpak,Description for Selpak,1907,74
Wonder,Address for Wonder,Description for Wonder,1996,9
Nova,Address for Nova,Description for Nova,1916,83
Continent Spice Khadi,Address for Continent Spice Khadi,Description for Continent Spice Khadi,1972,45
Nippo,Address for Nippo,Description for Nippo,1980,38
Saaj,Address for Saaj,Description for Saaj,1937,78
Cadbury Temptations,Address for Cadbury Temptations,Description for Cadbury Temptations,1969,51
Kesari,Address for Kesari,Description for Kesari,1939,20
Saravanas,Address for Saravanas,Description for Saravanas,1974,79
Astaberry,Address for Astaberry,Description for Astaberry,1929,31
Verage,Address for Verage,Description for Verage,1995,42
Isvaari,Address for Isvaari,Description for Isvaari,1919,13
Elicious ,Address for Elicious ,Description for Elicious ,1939,39
Godya,Address for Godya,Description for Godya,1968,44
Skippy,Address for Skippy,Description for Skippy,2006,62
Kolan,Address for Kolan,Description for Kolan,1911,56
Bacto-V,Address for Bacto-V,Description for Bacto-V,2011,6
Snickers,Address for Snickers,Description for Snickers,1964,9
Moti's,Address for Moti's,Description for Moti's,1954,11
Whiskas,Address for Whiskas,Description for Whiskas,1974,78
Streax,Address for Streax,Description for Streax,2019,58
Smoodies,Address for Smoodies,Description for Smoodies,1910,88
BB Royal Organic,Address for BB Royal Organic,Description for BB Royal Organic,2020,27
Fit  ,Address for Fit  ,Description for Fit  ,1923,62
Meghdoot,Address for Meghdoot,Description for Meghdoot,1915,51
Krazy Lines,Address for Krazy Lines,Description for Krazy Lines,1970,86
Vico,Address for Vico,Description for Vico,2012,66
Kara,Address for Kara,Description for Kara,1947,43
So Good,Address for So Good,Description for So Good,1909,83
Nivea Men,Address for Nivea Men,Description for Nivea Men,1973,47
Yellow Spark,Address for Yellow Spark,Description for Yellow Spark,1905,21
Hi-Luxe,Address for Hi-Luxe,Description for Hi-Luxe,1924,90
Sugar Watchers,Address for Sugar Watchers,Description for Sugar Watchers,1912,57
Blue Bird,Address for Blue Bird,Description for Blue Bird,1928,24
Nirmal,Address for Nirmal,Description for Nirmal,2004,48
The Finishing Touch,Address for The Finishing Touch,Description for The Finishing Touch,1959,75
Bioderma,Address for Bioderma,Description for Bioderma,1990,60
Banjara's,Address for Banjara's,Description for Banjara's,1909,39
Millet Cookies,Address for Millet Cookies,Description for Millet Cookies,1949,29
BHUIRA ,Address for BHUIRA ,Description for BHUIRA ,2021,87
Luxor,Address for Luxor,Description for Luxor,1935,23
Bharath Brand,Address for Bharath Brand,Description for Bharath Brand,1997,9
Bon Appetit,Address for Bon Appetit,Description for Bon Appetit,1920,91
Christopher Cocoa,Address for Christopher Cocoa,Description for Christopher Cocoa,1935,76
Chiko,Address for Chiko,Description for Chiko,1959,94
Clean & Clear,Address for Clean & Clear,Description for Clean & Clear,1960,91
Akshara Herbals,Address for Akshara Herbals,Description for Akshara Herbals,2003,50
Ferrari ,Address for Ferrari ,Description for Ferrari ,1951,24
Orpat,Address for Orpat,Description for Orpat,1976,44
Bingo,Address for Bingo,Description for Bingo,1902,65
Mothers Recipe,Address for Mothers Recipe,Description for Mothers Recipe,1998,37
Wonderchef,Address for Wonderchef,Description for Wonderchef,1930,12
Dermi Cool,Address for Dermi Cool,Description for Dermi Cool,1970,61
WhyFryy,Address for WhyFryy,Description for WhyFryy,1959,65
Wrigleys,Address for Wrigleys,Description for Wrigleys,1921,56
Parachute ,Address for Parachute ,Description for Parachute ,1936,94
Gatorade,Address for Gatorade,Description for Gatorade,2004,27
Ajax,Address for Ajax,Description for Ajax,1927,12
Jawai,Address for Jawai,Description for Jawai,1920,27
CCDS,Address for CCDS,Description for CCDS,1907,77
Aps Cosmetofood,Address for Aps Cosmetofood,Description for Aps Cosmetofood,1942,98
Philips,Address for Philips,Description for Philips,1942,84
Heinz,Address for Heinz,Description for Heinz,1929,31
Mamypoko,Address for Mamypoko,Description for Mamypoko,1926,93
Palmex,Address for Palmex,Description for Palmex,1945,66
Berger BreatheEasy,Address for Berger BreatheEasy,Description for Berger BreatheEasy,1976,31
Bblunt,Address for Bblunt,Description for Bblunt,1908,48
Cocosutra,Address for Cocosutra,Description for Cocosutra,1948,83
D'Lecta,Address for D'Lecta,Description for D'Lecta,1959,74
Kores,Address for Kores,Description for Kores,1983,64
Pahal,Address for Pahal,Description for Pahal,1985,59
JK,Address for JK,Description for JK,1966,35
Rexona,Address for Rexona,Description for Rexona,2000,86
Killi,Address for Killi,Description for Killi,1932,44
Kennel kitchen ,Address for Kennel kitchen ,Description for Kennel kitchen ,1937,48
Schogetten,Address for Schogetten,Description for Schogetten,2004,25
Brookside,Address for Brookside,Description for Brookside,1981,93
Ritebite,Address for Ritebite,Description for Ritebite,2020,32
Chocoliebe,Address for Chocoliebe,Description for Chocoliebe,1997,7
Morisons Baby Dreams,Address for Morisons Baby Dreams,Description for Morisons Baby Dreams,2004,34
Barilla,Address for Barilla,Description for Barilla,1997,9
Asahikasei,Address for Asahikasei,Description for Asahikasei,1911,17
Rostaa,Address for Rostaa,Description for Rostaa,1976,36
Nouvetta,Address for Nouvetta,Description for Nouvetta,1935,1
Greenberry Organics,Address for Greenberry Organics,Description for Greenberry Organics,1968,78
FabAlley,Address for FabAlley,Description for FabAlley,1974,47
Chandan,Address for Chandan,Description for Chandan,1912,15
Cycle,Address for Cycle,Description for Cycle,1907,73
BVC,Address for BVC,Description for BVC,1905,55
Raju Candles,Address for Raju Candles,Description for Raju Candles,2021,39
Ezee Alka,Address for Ezee Alka,Description for Ezee Alka,1995,58
Ssp,Address for Ssp,Description for Ssp,1946,38
QRAA,Address for QRAA,Description for QRAA,1938,18
Woodwards,Address for Woodwards,Description for Woodwards,1971,97
Boroplus,Address for Boroplus,Description for Boroplus,1981,40
Blue heaven,Address for Blue heaven,Description for Blue heaven,1949,79
Orbit,Address for Orbit,Description for Orbit,1915,83
Olicoop,Address for Olicoop,Description for Olicoop,2013,24
Fizzy Fern,Address for Fizzy Fern,Description for Fizzy Fern,1986,63
Kr,Address for Kr,Description for Kr,1922,35
Tasty Nibbles,Address for Tasty Nibbles,Description for Tasty Nibbles,1957,84
Yoo Yee,Address for Yoo Yee,Description for Yoo Yee,1959,17
Pyrex,Address for Pyrex,Description for Pyrex,2011,22
Rise N Shine,Address for Rise N Shine,Description for Rise N Shine,1985,55
Nourish Organics,Address for Nourish Organics,Description for Nourish Organics,1991,45
Herbal Hills,Address for Herbal Hills,Description for Herbal Hills,1960,32
Trident,Address for Trident,Description for Trident,1953,57
1mg,Address for 1mg,Description for 1mg,2010,47
Kare In,Address for Kare In,Description for Kare In,1945,8
Gomutra,Address for Gomutra,Description for Gomutra,2004,42
Genteel,Address for Genteel,Description for Genteel,2017,6
Aveeno,Address for Aveeno,Description for Aveeno,1994,57
Nestea,Address for Nestea,Description for Nestea,2017,62
SimMom,Address for SimMom,Description for SimMom,1963,89
Orkay,Address for Orkay,Description for Orkay,1959,19
Aagam,Address for Aagam,Description for Aagam,1992,21
Galaxy,Address for Galaxy,Description for Galaxy,1965,50
Singh Styled,Address for Singh Styled,Description for Singh Styled,1919,70
Care 4 All,Address for Care 4 All,Description for Care 4 All,2019,61
Navratna,Address for Navratna,Description for Navratna,1912,94
Amul Happy Treats,Address for Amul Happy Treats,Description for Amul Happy Treats,1934,60
Nutrela,Address for Nutrela,Description for Nutrela,1921,93
Voila,Address for Voila,Description for Voila,1946,5
Mr. Makhana,Address for Mr. Makhana,Description for Mr. Makhana,1902,96
Tata Tea Agni,Address for Tata Tea Agni,Description for Tata Tea Agni,1920,35
Seven,Address for Seven,Description for Seven,2011,87
Multix,Address for Multix,Description for Multix,1922,23
iD Fresho,Address for iD Fresho,Description for iD Fresho,1952,69
Karma Kettle,Address for Karma Kettle,Description for Karma Kettle,2020,70
Nandini,Address for Nandini,Description for Nandini,2001,20
Palmer's,Address for Palmer's,Description for Palmer's,1906,51
Eagle,Address for Eagle,Description for Eagle,1947,29
St. Dalfour,Address for St. Dalfour,Description for St. Dalfour,1996,43
Glucon-D,Address for Glucon-D,Description for Glucon-D,2011,36
Rodolfi,Address for Rodolfi,Description for Rodolfi,2011,67
FabBox,Address for FabBox,Description for FabBox,1981,58
Gulabs,Address for Gulabs,Description for Gulabs,1943,21
Befikar,Address for Befikar,Description for Befikar,1982,7
Steelo Sunpet,Address for Steelo Sunpet,Description for Steelo Sunpet,1989,97
Glucovita,Address for Glucovita,Description for Glucovita,1932,44
Lifree,Address for Lifree,Description for Lifree,2008,7
Fruit-Tella ,Address for Fruit-Tella ,Description for Fruit-Tella ,2007,81
ChefBoss,Address for ChefBoss,Description for ChefBoss,1915,20
Nando's,Address for Nando's,Description for Nando's,1983,42
Schevaran,Address for Schevaran,Description for Schevaran,1910,80
SHAMROCK,Address for SHAMROCK,Description for SHAMROCK,2005,7
She made,Address for She made,Description for She made,2014,81
Conscious Food,Address for Conscious Food,Description for Conscious Food,1994,69
Flair,Address for Flair,Description for Flair,1950,32
Jolly Rancher,Address for Jolly Rancher,Description for Jolly Rancher,1992,2
Indulekha,Address for Indulekha,Description for Indulekha,1991,51
Parle Platina,Address for Parle Platina,Description for Parle Platina,1952,56
Florsafe +,Address for Florsafe +,Description for Florsafe +,1974,38
Bali Kitchen,Address for Bali Kitchen,Description for Bali Kitchen,1959,53
Globus,Address for Globus,Description for Globus,1912,46
AMAJAIN,Address for AMAJAIN,Description for AMAJAIN,1943,40
Kettle Studio,Address for Kettle Studio,Description for Kettle Studio,2009,7
Dr.Batra'S,Address for Dr.Batra'S,Description for Dr.Batra'S,1957,19
Abbies,Address for Abbies,Description for Abbies,1949,97
Crystal,Address for Crystal,Description for Crystal,1979,27
Tata Coffee,Address for Tata Coffee,Description for Tata Coffee,2003,58
Fresho Signature,Address for Fresho Signature,Description for Fresho Signature,1985,70
Home Puff,Address for Home Puff,Description for Home Puff,1967,21
BP Bharat,Address for BP Bharat,Description for BP Bharat,1959,0
Nutriplate,Address for Nutriplate,Description for Nutriplate,1966,12
Nyle,Address for Nyle,Description for Nyle,1945,83
Soulfull,Address for Soulfull,Description for Soulfull,2020,47
Just Herbs,Address for Just Herbs,Description for Just Herbs,1901,24
Mystique,Address for Mystique,Description for Mystique,1982,80
Adidas,Address for Adidas,Description for Adidas,1902,87
Sanketi Adukale,Address for Sanketi Adukale,Description for Sanketi Adukale,1932,71
Nongshim,Address for Nongshim,Description for Nongshim,2017,39
Smart Home,Address for Smart Home,Description for Smart Home,1998,94
Goli Soda,Address for Goli Soda,Description for Goli Soda,1972,6
Neelam,Address for Neelam,Description for Neelam,1913,26
Neutrogena,Address for Neutrogena,Description for Neutrogena,1911,5
Lindberg,Address for Lindberg,Description for Lindberg,1943,16
Milltec,Address for Milltec,Description for Milltec,1924,15
Wahl,Address for Wahl,Description for Wahl,1965,83
Epicure,Address for Epicure,Description for Epicure,1937,85
Lindt,Address for Lindt,Description for Lindt,1974,24
Swastik Steel,Address for Swastik Steel,Description for Swastik Steel,1936,35
Baol,Address for Baol,Description for Baol,1993,52
Fair & Lovely ,Address for Fair & Lovely ,Description for Fair & Lovely ,1961,13
Clinic Plus,Address for Clinic Plus,Description for Clinic Plus,1967,46
Bournvita,Address for Bournvita,Description for Bournvita,1939,79
Surf Excel,Address for Surf Excel,Description for Surf Excel,1976,34
Aramusk,Address for Aramusk,Description for Aramusk,1935,84
Rage,Address for Rage,Description for Rage,1968,64
